strat,ticker,oos_total,oos_sharpe,oos_maxdd,bh_total,bh_sharpe,bh_maxdd,beats_return,beats_sharpe
g001,BTC,-0.10044904858777082,0.04423851422639284,-0.43706906755302033,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g001,ETH,0.11985338588550531,0.32978502182068015,-0.518166986587804,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g001,SOL,-0.3913980761698671,-0.17635398711998906,-0.6420260140311127,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,False
g002,BTC,-0.13696582543383484,-5.628769602338088e-05,-0.45267273739169767,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g002,ETH,-0.004715393497024323,0.25547290667520434,-0.5182869557565404,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g002,SOL,-0.11646337095178938,0.2062662617347935,-0.5336559323584549,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g003,BTC,-0.028339602535979558,0.15798165574722342,-0.42052964716331986,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g003,ETH,-0.40936105927594024,-0.23112642906943506,-0.6394151313273767,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g003,SOL,-0.530551658419995,-0.16484951128776187,-0.7065271289461293,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g004,BTC,0.008142399869383032,0.17082607238158565,-0.4001397387263138,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g004,ETH,0.08126976178683853,0.29261403791702884,-0.4750105695925121,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g004,SOL,-0.15281096835284436,0.12210334358847934,-0.5991852559285689,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g006,BTC,-0.25230459858253607,-0.1903698077136387,-0.48704519058329865,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g006,ETH,-0.10453275983063193,0.14979254169969106,-0.49176115268475673,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g006,SOL,-0.5795702498422495,-0.29285801963640756,-0.7411436366846123,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g007,BTC,0.07649542128673059,0.373143339407832,-0.10545391808200477,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g007,ETH,0.1818639232851258,0.9560502272212397,-0.0035983747065404526,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g007,SOL,0.43409364605334133,1.0106933169408971,-0.14075198343680495,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g008,BTC,0.03788096013767661,0.17673530638815443,-0.18011282078593915,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g008,ETH,0.5913491418220678,1.1761350185634274,-0.10071934257875803,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g008,SOL,0.19031346055575682,0.6567175530647165,-0.16022441111703178,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g009,BTC,0.15486891065545816,0.3516709148061593,-0.37882685642134795,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g009,ETH,-0.3128678099261596,-0.09785510146928304,-0.5981789804203274,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g009,SOL,-0.08443722823783395,0.21363462798154276,-0.6062924578889627,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g010,BTC,0.143430841802211,0.33799401693472825,-0.2647958118505708,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g010,ETH,-0.5285145631525803,-0.3793736378891853,-0.626030536864469,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,False,False
g010,SOL,-0.35271331394563343,-0.16298380008163457,-0.5594261439576271,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,False
g011,BTC,-0.08213054252349605,-0.07067580815353447,-0.28055862987147995,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
